(7-(4*(4*3)))	7443**-
(5+(2-(8-4)))	5284--+
(6*(3/(0*6)))	6306*/*
(3/((6-6)/2))	366-2//
(9-((4/8)*9))	948/9*-
(5+((6-2)-3))	562-3-+
((8-2)+(4-4))	82-44-+
(0/(0/(6*0)))	0060*//
(4/(0*(3+2)))	4032+*/
(0*(8+(8+9)))	0889++*
(5/(6*(8-3)))	5683-*/
(0+(1+(4*9)))	0149*++
(9-(1+(0/4)))	9104/+-
(4*(7*(6/1)))	4761/**
(2-(7/(4+4)))	2744+/-
(1-(3*(0+2)))	1302+*-
(5+(2-(9+0)))	5290+-+
(2+(9/(1/5)))	2915//+
(1/(5*(4*5)))	1545**/
(1*(4/(7*5)))	1475*/*
(4*(7*(3/5)))	4735/**
(7-((5-9)/8))	759-8/-
(9/(5-(6+3)))	9563+-/
(5+(4-(8*5)))	5485*-+
(5-(4-(2+6)))	5426+--
(8/((2*9)+4))	829*4+/
((1+5)-(4*0))	15+40*-
((9+1)/(9+9))	91+99+/
(0+(0/(5/3)))	0053//+
(0/(7+(2/3)))	0723/+/
((9+0)+(9*5))	90+95*+
(1-(9-(6/3)))	1963/--
(6*(2-(9-7)))	6297--*
((1/(1+0))*3)	110+/3*
((9/0)*(5-5))	90/55-*
(9/(0*(6-7)))	9067-*/
(8/(4-(0-9)))	8409--/
(9+(5/(5+7)))	9557+/+
(2-(6*(5+2)))	2652+*-
(2-(0/(8+3)))	2083+/-
(4+(2-(6/2)))	4262/-+
((4/9)*(8+8))	49/88+*
((5/3)/(1+7))	53/17+/
((2+(6*7))/0)	267*+0/
(0+(2-(0*1)))	0201*-+
((9/5)-(6+3))	95/63+-
((2-5)*(8*9))	25-89**
(0-((8/5)*6))	085/6*-
((3/9)*(1-0))	39/10-*
(4+(9/(5-1)))	4951-/+
(8/(7/(4-3)))	8743-//
(2+(7*(1+3)))	2713+*+
(1-(9/(8/3)))	1983//-
(7+(4/(7+4)))	7474+/+
(3/(9/(2-4)))	3924-//
(2-(5+(6*7)))	2567*+-
(4-(8*(6-3)))	4863-*-
(5/(6/(0/6)))	5606///
(6+(7*(7-0)))	6770-*+
(0-(5*(5*5)))	0555**-
(1+((8+2)-8))	182+8-+
(2-(0+(0-7)))	2007-+-
((3-5)/(1+7))	35-17+/
(0+(7-(3/3)))	0733/-+
((3+8)-(6/5))	38+65/-
(9/(6/(4*6)))	9646*//
(5-(7/(7*3)))	5773*/-
(7*((8+9)/0))	789+0/*
(5-(9+(3+8)))	5938++-
(4*(6+(1*6)))	4616*+*
(3+(3*(0+4)))	3304+*+
(5*(7/(5*0)))	5750*/*
(5-(2-(4-9)))	5249---
(0*(5+(3/9)))	0539/+*
