(((6+4)+6)/(2*2))	64+6+22*/
((7/5)+(2/(2/1)))	75/221//+
((1*(4*2))/(0-2))	142**02-/
((1*4)*(8*(6*1)))	14*861***
((2/1)-(4-(9/6)))	21/496/--
((3-(3-(1/9)))-0)	3319/--0-
((4-(2/(6+7)))+0)	4267+/-0+
((1*(4-8))/(3+6))	148-*36+/
((((1+3)+2)+6)*7)	13+2+6+7*
((1*(3*(4/0)))+4)	1340/**4+
(1+((4/7)/(4+7)))	147/47+/+
(((2+(6+0))-1)/3)	260++1-3/
(6*((4+0)*(7*8)))	640+78***
(((1-1)*4)+(1+0))	11-4*10++
((7*(0*0))/(8/5))	700**85//
((0-8)*(8+(3/3)))	08-833/+*
((0*(6/0))/(1/4))	060/*14//
((5+8)+(1+(7-8)))	58+178-++
(((4+9)+(2-1))-5)	49+21-+5-
((7/6)/(9+(7/2)))	76/972/+/
(((9/6)-9)-(1-0))	96/9-10--
(6/((7*7)+(2+4)))	677*24++/
((9-(8*(6+4)))-9)	9864+*-9-
((4-8)-(8-(1-2)))	48-812---
((2-(1*1))*(1*8))	211*-18**
((9-(3+1))+(7+6))	931+-76++
((4/((7-4)+6))*8)	474-6+/8*
((0+(3+8))-(5*7))	038++57*-
(((1-6)*(5/1))*1)	16-51/*1*
(((2/(7-6))-8)-5)	276-/8-5-
(4*((9+1)-(5/3)))	491+53/-*
((5*(1*1))+(2*6))	511**26*+
(2*(7+(8/(1+9))))	27819+/+*
(2+(4*(3-(8/2))))	24382/-*+
(((2+5)/9)-(0/9))	25+9/09/-
((0-8)-(0-(5*9)))	08-059*--
((6+8)/(7/(7+6)))	68+776+//
((5*(0*8))/(6-9))	508**69-/
((1-9)+(9*(0/7)))	19-907/*+
(1+(1/((3+8)*6)))	1138+6*/+
((6+(0-(7*0)))+4)	6070*-+4+
((8-(0-2))-(9-3))	802--93--
((7-8)/(8+(1/1)))	78-811/+/
(6+((3-1)-(4*9)))	631-49*-+
((3*3)-(1*(9+9)))	33*199+*-
((8/9)*(0/(9*7)))	89/097*/*
((4-(6*2))*(8-6))	462*-86-*
((2+(1*0))*(1*5))	210*+15**
((0/(2+6))+(7+2))	026+/72++
((1+1)-(8/(2*8)))	11+828*/-
(((1+3)+2)/(9+1))	13+2+91+/
((9/1)/(8/(6+0)))	91/860+//
(0/((3*(5/4))+9))	0354/*9+/
(((3-0)-8)/(1-6))	30-8-16-/
(6/((8+(1-1))*8))	6811-+8*/
((((5-4)*7)/6)-1)	54-7*6/1-
((9-7)+(8-(6*0)))	97-860*-+
(6*((5*(6+0))-5))	6560+*5-*
(7+(2-((5-2)*6)))	7252-6*-+
(8-((1+9)/(6/7)))	819+67//-
((9+4)-(9-(8/2)))	94+982/--
(6-(3/(9/(9+7))))	63997+//-
(3*((7/1)+(9/1)))	371/91/+*
(((4+(8+7))+4)/7)	487++4+7/
((4/5)+(9/(9+0)))	45/990+/+
((1+4)+(6/(7/3)))	14+673//+
((6/(3-5))-(2+2))	635-/22+-
((0/(2/8))-(7-8))	028//78--
((6-0)-(0-(9-7)))	60-097---
(2+(5-((2*7)/9)))	2527*9/-+
((8+4)*(4+(0-4)))	84+404-+*
((2*(8-7))+(0+8))	287-*08++
(1/(9*((8+1)-9)))	1981+9-*/
(2/(7*(7/(5+3))))	27753+/*/
(0*(8-(7-(8-1))))	08781---*
((6/2)/(5-(7*5)))	62/575*-/
(((8/2)+2)-(8-4))	82/2+84--
((9*(4/5))*(0-0))	945/*00-*
(8/(((7/7)+8)-5))	877/8+5-/
(((8-1)-2)*(0*3))	81-2-03**
(3/((1-1)+(8/0)))	311-80/+/
(6+(2-(1*(5/8))))	62158/*-+
((0/6)+(7+(1-7)))	06/717-++
((1+2)/(3*(1/7)))	12+317/*/
((0/2)-(2*(8*9)))	02/289**-
(((4/8)-(3*5))/0)	48/35*-0/
(5-(6/(9/(7*3))))	56973*//-
(((2/6)-4)+(8-5))	26/4-85-+
((7/9)/(1/(6+1)))	79/161+//
((5/(7+7))/(3+0))	577+/30+/
((2-(5*9))+(0*9))	259*-09*+
(6/(2/(0*(5+5))))	62055+*//
(4+(3+((2/9)+1)))	4329/1+++
((4/7)*((2+6)-2))	47/26+2-*
(((4*5)-6)-(2-1))	45*6-21--
((8+3)*(7-(4*3)))	83+743*-*
(((9*6)*9)*(5-4))	96*9*54-*
(((8+(8*7))-6)+8)	887*+6-8+
(8+(7/(7-(7+3))))	87773+-/+
(((7+3)*6)/(0+1))	73+6*01+/
(1*(8-(8*(5-6))))	18856-*-*
(0/((4/3)+(8-0)))	043/80-+/
((4+7)/(4-(2/5)))	47+425/-/
(((0/3)*4)/(9/8))	03/4*98//
