(((2+0)-(9*2))*(6*9))	20+92*-69**
(((2/(9-6))+(4-4))-(7*0))	296-/44-+70*-
((4*9)-((3+(7-3))*5))	49*373-+5*-
((4+0)+((9+(7*3))*(5*4)))	40+973*+54**+
((1+2)*(4/(2/(7*4))))	12+4274*//*
(8*(8-(0+((1-4)+5))))	88014-5++-*
((2+6)/(0-(2-(0*8))))	26+0208*--/
((0/7)/(4/(6/(1-(4*5)))))	07/46145*-///
((7+(7*(0+(9/8))))+6)	77098/+*+6+
(((5/(3-0))+8)+(9+(7-8)))	530-/8+978-++
(2/((1/(6+5))+(3*(1/8))))	2165+/318/*+/
((5+(7/6))*(2*(3/7)))	576/+237/**
((4/9)+(5+(5/(2*2))))	49/5522*/++
(((7*(9*0))-6)-(2*1))	790**6-21*-
((8+(7*2))-((5+5)/1))	872*+55+1/-
((6-(7*1))/(3+(1-7)))	671*-317-+/
((6/(4*(6/1)))*(0-(5/7)))	6461/*/057/-*
(((8-7)+8)-(9+(3+0)))	87-8+930++-
((9/9)-(1/(4+(5*5))))	99/1455*+/-
((2*0)/((9*7)-(3+(7/3))))	20*97*373/+-/
(((9-(1*7))/0)-((9/2)-8))	917*-0/92/8--
(5*((4/6)/(5/(5/8))))	546/558///*
((3-2)+(9/(3/(3*(4+0)))))	32-93340+*//+
((4*(9+7))+(3+(9*9)))	497+*399*++
((3+(4/(4+(2/2))))*5)	34422/+/+5*
(((9-(5*4))-(8+0))-(5+5))	954*-80+-55+-
((3-5)/(((9/2)-7)+(5/3)))	35-92/7-53/+/
(2-((0*5)+(0*(1-(7*9)))))	205*0179*-*+-
(5*(4-(5-(9/(5+9)))))	545959+/--*
((8+(9*(2+2)))/(2*2))	8922+*+22*/
((9-(0+(9/9)))/(7+(6*2)))	9099/+-762*+/
((1+(1+0))/(4-(8*4)))	110++484*-/
(6*((7*(7+(7/5)))+7))	67775/+*7+*
(((0*7)/(7*7))/(1/7))	07*77*/17//
((2/8)-(2+(5+(5+9))))	28/2559+++-
(((8*1)+4)+(6*(8+(8+1))))	81*4+6881++*+
((3+(1+(0/5)))+(1-(2-0)))	3105/++120--+
(9*((1/(2*7))-(1-(3/2))))	9127*/132/--*
(((4/(8+4))+8)*(4*9))	484+/8+49**
(((7*4)*(6/0))/(8+0))	74*60/*80+/
((0-4)/(8/(4*(5+(0-6)))))	04-84506-+*//
(3+(4/(9*(1-(4+4)))))	349144+-*/+
(9-((9/7)-(1/(9/3))))	997/193//--
((2/(0+0))*(4*(9*5)))	200+/495***
((0*(3-9))-((7+(0/0))+0))	039-*700/+0+-
((7/(5/1))+(2/(0/6)))	751//206//+
((5*(8-2))+(0/(4-7)))	582-*047-/+
(((4/0)/4)+(6/(7-2)))	40/4/672-/+
((9+(8+(0*6)))-(5-5))	9806*++55--
(7/((5/(0+(4-7)))-(8/3)))	75047-+/83/-/
(8+((2+(6+7))*(0*(4+7))))	8267++047+**+
((5/((2+5)/2))/(1/(3/3)))	525+2//133///
(((8*(0/9))/(7+8))-(3+1))	809/*78+/31+-
(((3+8)-9)-(7*(0/0)))	38+9-700/*-
((((4+8)*8)/(7-5))/(1+7))	48+8*75-/17+/
((3+2)+(2-(5+(5-(0/9)))))	32+25509/-+-+
((8/(5+(3/(6/5))))*(5/0))	85365//+/50/*
(9-(0+(8*(8/(9/4)))))	908894//*+-
((5+(6+(6*8)))-(8/(7+5)))	5668*++875+/-
((5-6)-(1/(1/(1*8))))	56-1118*//-
((6/(0-(4-9)))/(9+(7/9)))	6049--/979/+/
(((8*7)-(2+5))-(0+(7+3)))	87*25+-073++-
(3-((1/(3/(8*2)))/(4*7)))	31382*//47*/-
(((6-(7-(7-0)))/(7+4))+1)	6770---74+/1+
((4+(3*8))-(6*(5*(3+7))))	438*+6537+**-
((3+(3+(6/5)))/(5/0))	3365/++50//
((8+(2/(1-4)))/(3*(6+1)))	8214-/+361+*/
(((5-0)*(4/(2+(6*3))))/5)	50-4263*+/*5/
(0-((8+4)-(5+(8/1))))	084+581/+--
(6-(1+(7/(6*(1*(3-9))))))	6176139-**/+-
(9*(7-((9/2)+(1-6))))	9792/16-+-*
(9-((6+(2*(4-5)))-(4-1)))	96245-*+41---
(((6/2)-(6/0))/(5/8))	62/60/-58//
(((4/9)/(1+1))*(2/6))	49/11+/26/*
((8+(6-(0-3)))/(5-(9/1)))	8603--+591/-/
(((1*6)*2)/(4+(9+9)))	16*2*499++/
(4-((3/0)-(4/(5+7))))	430/457+/--
((8/(0*2))*(3/(3*(9-8))))	802*/3398-*/*
(((8/(3-9))/(4/8))/(7+7))	839-/48//77+/
(6+(5-(4+(8/(7+9)))))	654879+/+-+
((3/(3/2))+(7*(4/0)))	332//740/*+
((((9+(8+5))*7)*(6*6))*6)	985++7*66**6*
((9+((9-8)+4))*(4/(8-7)))	998-4++487-/*
(4-((9-(8*(3*3)))*9))	49833**-9*-
(((0/(2*5))-6)*(1-(8/0)))	025*/6-180/-*
((((9/4)-(6-8))*2)/(3-1))	94/68--2*31-/
((6*(8+7))-((2*1)-(3*8)))	687+*21*38*--
((4/(9-6))*(5/(2+0)))	496-/520+/*
(4+(5+((8+5)-(3*(7/2)))))	4585+372/*-++
((6+9)/(5-(1+(2-5))))	69+5125-+-/
((9/(5/0))-(6+(4*(2-5))))	950//6425-*+-
((8-(3*5))+(2*(4-6)))	835*-246-*+
((5*6)-((0-4)+(1*9)))	56*04-19*+-
(6/((3-6)*((2/7)-(7*0))))	636-27/70*-*/
((5+(9/6))*(7-(1*(6-1))))	596/+7161-*-*
(8+(7*((7+(8-(7/9)))+5)))	877879/-+5+*+
((3-(2+1))*(9*(6-(0/2))))	321+-9602/-**
((1/(3/(3/(2*(9/4)))))-1)	133294/*///1-
((7*(9+(2-3)))/(8/9))	7923-+*89//
(6-(2-((9-(5-6))*1)))	62956--1*--
(((9/4)/(7/(0*9)))-(2+2))	94/709*//22+-
(((5+3)-4)+(9/(7/(1+7))))	53+4-9717+//+
((4*9)+(9+(6+(2/6))))	49*9626/+++
((4-(6+9))/(0+(0-(7/1))))	469+-0071/-+/
(0+((4-(4+6))-(4+(5+6))))	0446+-456++-+
((3+(1+3))+(5/(4*(0*7))))	313++5407**/+
((4-(3*(9+8)))-(0-8))	4398+*-08--
(((5/6)*1)-(2+(2/1)))	56/1*221/+-
(((5+3)*1)+(5*(6-4)))	53+1*564-*+
((0+(7*0))/(4*(6-0)))	070*+460-*/
(8+((9-(6/(1/7)))*(4*1)))	89617//-41**+
(0+(6-(0*(2+(2+7)))))	060227++*-+
((3*(2*(5+9)))+(7+1))	3259+**71++
(4*((6*(7+3))-(5+0)))	4673+*50+-*
(5+((2+1)+(3-(3*5))))	521+335*-++
((0*9)/((5/0)+(9*1)))	09*50/91*+/
((7*3)/(7*((4*9)*0)))	73*749*0**/
((9+(6*4))+(0*(1*8)))	964*+018**+
((1*(4/(0*8)))*(6+(3*2)))	1408*/*632*+*
(3*((2-0)-(2/(6/4))))	320-264//-*
((3*(1+(6+1)))-(7+2))	3161++*72+-
((((7/6)/4)-(0-5))-(6/8))	76/4/05--68/-
((4+(4*7))+(2-(8/7)))	447*+287/-+
((8/(0/(2-6)))+(7/(4-9)))	8026-//749-/+
(1+((2/(7+3))/(8*4)))	1273+/84*/+
(2+(1/(3*(7+(0/7)))))	213707/+*/+
((5/(1/5))/(5*(4+7)))	515//547+*/
(((1*5)+(6*(7*0)))/(9+0))	15*670**+90+/
((8+(2/1))/(6-(6-4)))	821/+664--/
(((6+8)*(2+5))*(2-7))	68+25+*27-*
