(((8+0)-(6-(5*(5+6))))+8)	80+6556+*--8+
((7/(7/2))/(4*(7/(8-2))))	772//4782-/*/
(((3/4)*(9-3))+(3-(1/7)))	34/93-*317/-+
((((7-2)*5)-(1/(3+4)))/9)	72-5*134+/-9/
((6/(8*(5*1)))*(1-(3*7)))	6851**/137*-*
((5/(7*9))-(8/(7+(9/(0+9)))))	579*/87909+/+/-
((((1-7)*5)*(0/(8/8)))/(9-2))	17-5*088//*92-/
((3/(7+6))-(1-((9+5)/(1*0))))	376+/195+10*/--
((1+9)-((1+(1-4))+(4/(8-8))))	19+114-+488-/+-
(((7+(9-2))-(1+9))/(0-0))	792-+19+-00-/
(((4*4)+(4+9))*(6+(4-2)))	44*49++642-+*
((7+1)-((1*(6/(9-9)))-(4/3)))	71+1699-/*43/--
((2-((0*(9*(2*8)))+4))-(2*8))	20928***4+-28*-
(((3*(5+(3/8)))*(1-(9*5)))-8)	3538/+*195*-*8-
(((9/(4-3))*6)-(3*(2/1)))	943-/6*321/*-
(4*((3*(2-1))+(3-(8*(3+2)))))	4321-*3832+*-+*
((6-(4-(9-(0/(5-0)))))+(1-3))	649050-/---13-+
((((7-8)-(7-0))*(1*6))-(0+8))	78-70--16**08+-
((((6*7)-4)/(4+5))/(4*8))	67*4-45+/48*/
((2*(5-((8*(1-5))+7)))+7)	25815-*7+-*7+
(((9-(5+9))*2)-(5-(6+(1*0))))	959+-2*5610*+--
(((8+3)+(3*(3/(6*0))))*(6+4))	83+3360*/*+64+*
((((3+5)/8)+(0*(9+6)))-(8/3))	35+8/096+*+83/-
(((6/(0/8))-0)*(5+(3-3)))	608//0-533-+*
(((6-(5+(2/1)))-(7-(7/7)))-8)	6521/+-777/--8-
((1+(8/6))-((9/(9-5))/2))	186/+995-/2/-
((7-(0*8))/(4/(1*(7+8))))	708*-4178+*//
((7-(6*(3*3)))+(7-(1-(4*1))))	7633**-7141*--+
(7+(2/((6-4)/(4+(0/(3/4))))))	7264-4034//+//+
(8-((8*(8/(1-3)))*(9*1)))	88813-/*91**-
(((1*(9*(2+6)))-9)*(5-(9*7)))	1926+**9-597*-*
(8/(9+((6*9)-(5/(0-(4-9))))))	8969*5049--/-+/
((3-(0*((9/2)/(4/9))))+(5+0))	3092/49//*-50++
(2/(6/(((0-2)/(5/5))+(3/3))))	2602-55//33/+//
(((3+(9+1))-7)-(6-(2*(3-7))))	391++7-6237-*--
((1/((9/0)*(1-5)))*(4-6))	190/15-*/46-*
((9*(6*(9/(4-3))))*(7*(4-3)))	96943-/**743-**
(((5*4)*2)/((6+(6*3))*(2-1)))	54*2*663*+21-*/
(((1/6)-(0-2))*(9+(8*4)))	16/02--984*+*
((4-(2-5))*(2/(1+(4/0))))	425--2140/+/*
(((9-0)+(8-0))-(6*(6*0)))	90-80-+660**-
(((7*1)/(0-(0*(8+2))))+8)	71*0082+*-/8+
(((8+4)-9)/(2/((8*5)+(0/0))))	84+9-285*00/+//
(((4*(4*(1/4)))-(2*8))-(9/5))	4414/**28*-95/-
(((7+(7-5))-(6*(8*8)))*(4-6))	775-+688**-46-*
(((8/(0+(7+6)))-(8/(6*6)))*4)	8076++/866*/-4*
(9+((1-(5*(6*(9+8))))+(9+4)))	915698+**-94+++
(0*(((2+9)+(1+(2/9)))/(2-8)))	029+129/++28-/*
((5*4)/(8/(6+((1/6)+7))))	54*8616/7++//
(0*(5+((7*(8/(9/4)))-(5-1))))	057894//*51--+*
(((7*9)+(1-(5-3)))+(8/(6-2)))	79*153--+862-/+
((8*1)+(3+((0/2)+(0*4))))	81*302/04*+++
((1+8)-((6/(3/9))-(6*(0-4))))	18+639//604-*--
((9/(4-4))*(3/(8-(7-6))))	944-/3876--/*
((((5*6)*8)/8)+(9-(6-8)))	56*8*8/968--+
((9*(1-(4/0)))/(8*(1/(9/1))))	9140/-*8191//*/
((3/((0+0)*(5-(6+(1-8)))))/8)	300+5618-+-*/8/
((0-(8/5))/(3-(4*(5/4))))	085/-3454/*-/
((((0+1)+(3+8))-(8+9))/(1-0))	01+38++89+-10-/
((4-(7/(6+8)))*(8/(3-9)))	4768+/-839-/*
((3-(((7/4)/3)-9))*(0+8))	374/3/9--08+*
(((5-9)+4)/(8+(2-(5*(6/8)))))	59-4+82568/*-+/
((2-(0-5))/(4/(1-(0*(5-0)))))	205--41050-*-//
((8-(5-7))+(3-(6*(5*4))))	857--3654**-+
((2-(0+7))*((5-7)/(0*(6-6))))	207+-57-066-*/*
(((1/(6/(4-6)))-(1/6))*1)	1646-//16/-1*
(((((6/(6+1))/7)*9)*(6/4))*4)	661+/7/9*64/*4*
((3+7)/((2-6)/(7+(6/(8/1)))))	37+26-7681//+//
((((1*1)/0)+(6/0))/(4-(8+7)))	11*0/60/+487+-/
(((5*5)*1)-((7*6)*(6-(4/4))))	55*1*76*644/-*-
((((5+1)+2)+1)+(9/(2/(1/8))))	51+2+1+9218///+
((3*(4+1))-(5/(0-(0/(3/3)))))	341+*50033//-/-
(2-(((9-(0-5))*(3+6))-(9-3)))	2905--36+*93---
((5+4)/(3*(5/(4+(5/4)))))	54+35454/+/*/
(2-((7*(1*9))/(8-(2/1))))	2719**821/-/-
((6-(8-6))/((5+(0-1))/9))	686--501-+9//
(1-(((0+(6+9))/5)+(1+(3*8))))	1069++5/138*++-
(((8*(8+7))+(5/(9+2)))-(8*0))	887+*592+/+80*-
(1-((8-5)-((0/8)+(3-(3*0)))))	185-08/330*-+--
(((5*(7*(0/9)))-5)/(9-(6*9)))	5709/**5-969*-/
((((0/7)+(2+6))*(3-2))-(4+4))	07/26++32-*44+-
((2-(1/5))/(0+((4*6)/(8/5))))	215/-046*85//+/
((4-((0-2)*(1*(1+3))))-(5*1))	402-113+**-51*-
((7*(9+((5-1)+9)))/(5/(4/2)))	7951-9++*542///
(((4/6)/(7*3))*(7-((6*5)/3)))	46/73*/765*3/-*
((5-(6/3))/(9/(6*((2/9)+6))))	563/-9629/6+*//
((1*(7*(3+(7-7))))-(5-3))	17377-+**53--
((2/(7*((5/5)-(9/1))))-(5/8))	2755/91/-*/58/-
((6*(0/1))-(1/(9-(0+(6*2)))))	601/*19062*+-/-
((((6/7)/9)*4)+(2+(7/(5/9))))	67/9/4*2759//++
(((5+(0/6))*(7+5))+(8+(7-9)))	506/+75+*879-++
(((0+(6+3))-6)+(4*(0-(0-1))))	063++6-4001--*+
((4-0)+(4*(8/(6+(3-5)))))	40-48635-+/*+
((9-2)-(0/(2-(1/(0+3)))))	92-02103+/-/-
(((7/4)-(4+9))*(8+(5+3)))	74/49+-853++*
(((0-5)*(4-9))/(1+(5*7)))	05-49-*157*+/
(((9*(6-5))*(0*4))/(3+(0/3)))	965-*04**303/+/
(((2+5)*(5-6))-(7-(5-6)))	25+56-*756---
((5-(4*7))/(2/(7/(5+(5/5)))))	547*-27555/+///
(8*((8-((1/9)*5))*(1-(4*9))))	8819/5*-149*-**
(((2*(4/3))+(1*(4/0)))*(9/3))	243/*140/*+93/*
(((0/(7/(0-7)))-(7-(2*9)))-1)	0707-//729*--1-
((9+(1+6))+((3/6)+(3/8)))	916++36/38/++
((2*(0+6))+(1/(4/(1*4))))	206+*1414*//+
