((((3*7)+8)+(2+(3*1)))/(4*(4*4)))	37*8+231*++444**/
(0-((1*((5/(1-5))+(8+2)))+(3+1)))	01515-/82++*31++-
(((0/(0+(4+5)))*(4/5))/(0/(4-5)))	0045++/45/*045-//
(((((4+1)+(8+(7/3)))-3)*(9/0))/5)	41+873/++3-90/*5/
((1*(9-(3*(2-(4+9)))))/(7-(2/7)))	193249+-*-*727/-/
((((8*2)*(9*1))+6)-(1+(7+(0/2))))	82*91**6+1702/++-
(((8/((5-9)*2))+6)-(8-((3/4)/5)))	859-2*/6+834/5/--
(1-(((8/(3+(5+3)))-(9-(0-1)))-4))	18353++/901---4--
((9*3)-(((2/(4/(4/9)))/(4*6))+4))	93*2449///46*/4+-
((3/0)/((6-((7*(5-0))-(9-0)))/1))	30/6750-*90---1//
((1+(2-(9*(3/2))))*(7/(2+(5/5))))	12932/*-+7255/+/*
((9*((3/9)+(3-8)))/(5-(5+(6*6))))	939/38-+*5566*+-/
(((6/(2+8))/4)-(4*(1-(6*(4/0)))))	628+/4/41640/*-*-
(((6*(6*2))/(5+((7-0)/2)))-(8-1))	662**570-2/+/81--
(((7*(9+0))/(8-(8*(6-(5+2)))))+0)	790+*88652+-*-/0+
((6-(6/7))+((4*(1-1))-(4-(4/0))))	667/-411-*440/--+
(((3*9)+((1+((5/5)-9))+(6-1)))*9)	39*155/9-+61-++9*
(((0/(3-0))+(0-6))*(8+(7-(9+9))))	030-/06-+8799+-+*
(((3+(7+1))-(2+(7/(8*5))))/(1+1))	371++2785*/+-11+/
(((6+6)*(((3*(5*2))-3)-(0+2)))-3)	66+352**3-02+-*3-
(((2-(0-9))*0)+(6/((3/6)*(6-1))))	209--0*636/61-*/+
((4*(9+3))-(2+((5-9)/(4*(2*0)))))	493+*259-420**/+-
(((9+(9+0))*(5+8))+(0/(2-(4/7))))	990++58+*0247/-/+
(((8*5)+(0/((7/8)+3)))/(8-(0-4)))	85*078/3+/+804--/
(((6*6)-(3-4))/(9-(6/(4-(4-4)))))	66*34--96444--/-/
((((0+0)*(5*9))/(8*(9*6)))+(3-3))	00+59**896**/33-+
(((4*(2-7))/(8+(2+(8/9))))+(2/7))	427-*8289/++/27/+
((9-((1+(3-9))-9))+(3-(9-(0+1))))	9139-+9--3901+--+
(((7-(1*(5-(8/8))))*8)/(4*(2+3)))	71588/-*-8*423+*/
((2/((9+9)+6))*(4+(9+(5/(1/8)))))	299+6+/49518//++*
(1+(8+(0-(2-(3*((1+9)*(4/7)))))))	1802319+47/**--++
((((8-4)+(4/7))/(4*(5*2)))*(1/2))	84-47/+452**/12/*
((3/(5/1))-((6/(3*(4+7)))+(1*1)))	351//6347+*/11*+-
(((4*9)/((5-3)*(3-2)))+(1+(4-7)))	49*53-32-*/147-++
((((4-5)*(7/4))-(0-5))/(1-(8-2)))	45-74/*05--182--/
((7/((3*1)+(8-((1+0)/(4*9)))))-2)	731*810+49*/-+/2-
(2/(2/(((9+9)/(0*3))-(3+(0/6)))))	2299+03*/306/+-//
(9-(((1/(1/(5-3)))/9)+(7+(8*1))))	91153-//9/781*++-
(9/((0/((9+(3/2))/3))-(4+(2+9))))	90932/+3//429++-/
((0/((3*(5+4))/(2-4)))/(1+(5*8)))	0354+*24-//158*+/
((4/(1-(6-(5-((1+4)-(5/9))))))*4)	416514+59/----/4*
(((((8*8)/5)-6)-(5/(0/4)))-(5-4))	88*5/6-504//-54--
(((8+4)/(7+(9/(5*(0-7)))))+(0+1))	84+79507-*/+/01++
(((4+(0-((1*3)/4)))+(9+5))*(0*6))	4013*4/-+95++06**
(((0*(8+6))*(3-(6+(1+8))))-(7*7))	086+*3618++-*77*-
(((0/(7+0))-(1/(8-6)))+(3+(1-2)))	070+/186-/-312-++
((((5+5)/(1*3))-(9+2))+(8-(1/3)))	55+13*/92+-813/-+
(((7+(1+((7-9)/9)))+(8+5))/(8-8))	7179-9/++85++88-/
((5*2)+((3/(6/(2*3)))+(9+(2/0))))	52*3623*//920/+++
((((1/1)/9)/(8/(0*7)))/(0+(5/4)))	11/9/807*//054/+/
((2+6)/(9-(4/(3*(7+(4+(4-4)))))))	26+9437444-++*/-/
(((9*(1*(1*9)))/(0/7))-(0-(5/4)))	9119***07//054/--
((1-(4-1))*(7+(4+(1-((5-9)/3)))))	141--74159-3/-++*
(3*(((1+(4/9))-(8-(6*1)))-(1-8)))	3149/+861*--18--*
((9/(6+(1/(5/(4*6)))))/(8*(5/3)))	961546*//+/853/*/
(((7/(6/(1*7)))+(4+6))/(6*(6+2)))	7617*//46++662+*/
((((1+(8+4))+(0+6))-(8*(2+5)))-2)	184++06++825+*-2-
(((0/4)/(1/(5+(7+8))))+(2-(2/7)))	04/1578++//227/-+
(((6-(3*(3/(4+2))))-4)+(4-(5-1)))	63342+/*-4-451--+
(0-(1*(((1-5)-(3-9))/(5/(6-9)))))	0115-39--569-//*-
(((6+(7+(9-8)))+(9*7))*(2*(3/5)))	6798-++97*+235/**
(((6*3)/(8-(7-(2+(6*4)))))/(9+3))	63*87264*+--/93+/
((3*1)-((6/(4+3))-(5*(6+(1/5)))))	31*643+/5615/+*--
((8/2)*(0*(2+(8+(6*(1-(7*4)))))))	82/0286174*-*++**
(((1-0)*(9-(5-9)))+(3-(4+(0+8))))	10-959--*3408++-+
((((9-(6-7))*(2/5))+((5-7)-5))*5)	967--25/*57-5-+5*
((3-(7-(4*(5*6))))/(8*(4*(9*3))))	37456**--8493***/
(((4+(8*7))*(5/(7*(9*8))))*(8+7))	487*+5798**/*87+*
((((2*7)*(0/9))-(4-(7/(9/1))))+0)	27*09/*4791//--0+
(((8-8)/6)*(6*(4/(8*(5-(7*3))))))	88-6/648573*-*/**
(((8*(3+9))*(9-(0-2)))*(1/(4+7)))	839+*902--*147+/*
((((0+5)-1)*((4-3)/(8/(0/4))))*1)	05+1-43-804///*1*
((9-4)*((9*4)/(3+((9/7)-(6/9)))))	94-94*397/69/-+/*
((((7*5)-(5/8))-(1*(8*(5-4))))-2)	75*58/-1854-**-2-
((5/(6*1))*(7*(((3+8)*5)-(8*8))))	561*/738+5*88*-**
((2*(2/3))+((0*(1-4))*(2/(0+2))))	223/*014-*202+/*+
(((5-2)*(7-(4+8)))*(7+(0+(1-0))))	52-748+-*7010-++*
((7*(((3+4)-9)-(8-(1+1))))*(2/0))	734+9-811+--*20/*
(((3/(6/3))+(3+(6*6)))*(5*(4/1)))	363//366*++541/**
(((1-7)+((5/(9+9))+(2*8)))+(2*0))	17-599+/28*++20*+
(((4*(7-(1+9)))*3)/(8/(3-(0/2))))	4719+-*3*8302/-//
((((9/6)+(2/5))+(9+7))-(7*(3+7)))	96/25/+97++737+*-
(((4-3)-(8/(4*(6+6))))+(7*(1+8)))	43-8466+*/-718+*+
((8/6)/((7/(9/5))-(0+(8*(0-0)))))	86/795//0800-*+-/
(((7-(2/(3*(6*3))))-(7+9))*(0*3))	72363**/-79+-03**
(2+(((0-(0+(4*(6/4))))-8)-(7-5)))	200464/*+-8-75--+
((6/6)/((5-((8-6)+(7*(3+0))))+1))	66/586-730+*+-1+/
(((9-0)/(5/((2/8)+(2*(4+3)))))+1)	90-528/243+*+//1+
((((6+2)/(2*3))+(2/(9-0)))+(2-8))	62+23*/290-/+28-+
(((9/2)+(9/(3-(0+(1+5)))))+(3-1))	92/93015++-/+31-+
((2+((4+(8/0))-2))*(4-(9/(9*5))))	2480/+2-+4995*/-*
