((((5*1)*(1/3))+6)/(0-(3/(3/(9/2)))))	51*13/*6+03392///-/
(3+((4/(2-5))+(5/((1*8)/(6+(0+6))))))	3425-/518*606++//++
(1+(((5+1)*(3/(1/(5+(3-6)))))*(4*9)))	151+31536-+//*49**+
((6/(9+(0+(8+(8*1)))))*(6*(7/(6/6))))	690881*+++/6766//**
(((5/((0*1)+(8+7)))/(5+(0-9)))*(2/0))	501*87++/509-+/20/*
((((5+7)/8)+(4/8))-(9-((8/3)*(2-4))))	57+8/48/+983/24-*--
(((9+(4+(0*(6/(3/7)))))*(6+5))/(4-7))	940637//*++65+*47-/
((3-(4+(5*(8/(9/1)))))/(3+(5*(1/0))))	345891//*+-3510/*+/
((((8+8)-((5/(4+6))*9))*(8*(3+1)))/6)	88+546+/9*-831+**6/
((2+((4/9)-(2/(0-6))))-(9-(0+(8-5))))	249/206-/-+9085-+--
((2+(0/0))-((3+(4*(9*4)))+(6+(6*0))))	200/+3494**+660*++-
(((5-(9+2))/(0-(7-0)))+(9-(2+(6+6))))	592+-070--/9266++-+
((((1*(2*8))+(2/0))+(4-(9-2)))+(7/3))	128**20/+492--+73/+
(((((5+5)+9)+6)-(5-5))*(0/(6*(8/0))))	55+9+6+55--0680/*/*
((((8/(2-8))/(5/(3*2)))*(3-7))-(9*4))	828-/532*//37-*94*-
(8-(((2-(2*7))-(4+0))/(9-(9*(6/8)))))	8227*-40+-9968/*-/-
((4/(4-(6/((2/5)+(8*4)))))+(4*(5-8)))	44625/84*+/-/458-*+
((3+(6*9))*(5*(4/((4+(3+5))-(1/5)))))	369*+54435++15/-/**
(((4-5)-(1*3))*(1-(7/((2/4)*(7+9)))))	45-13*-1724/79+*/-*
((((4/(9-(4+6)))+3)+9)*(0*((3*8)-4)))	4946+-/3+9+038*4-**
(((2-((3*6)/1))/((3+(6/(8*4)))/9))*9)	236*1/-3684*/+9//9*
((((3/0)+(0/5))-(3/(6*(6+4))))/(9-6))	30/05/+3664+*/-96-/
(((0-8)-(4*(2+4)))-(9*((1*1)*(2/2))))	08-424+*-911*22/**-
(((8/(7/(1-(5*7))))*(3/(3/(6/9))))-8)	87157*-//3369///*8-
((((3+(2/0))-((8+8)+0))/6)-(7/(9-1)))	320/+88+0+-6/791-/-
((4-((6+1)+(3-(2/3))))/(5/(6/(0-4))))	461+323/-+-5604-///
