((6-(((4+3)*(1*9))+4))*(8/(8-(9+(5-(9*7))))))	643+19**4+-889597*-+-/*
((((8/(3-7))+(3+2))*(7*(5+2)))+(8*((3/2)+1)))	837-/32++752+**832/1+*+
(((2+((6/(8-(4-9)))*6))*(4-8))+(3+(4+9)))	26849--/6*+48-*349+++
(((0*(8-5))+((6/(0/7))/(3-(1-(7-(4/1))))))*3)	085-*607//31741/---/+3*
((((9+(2-4))-2)*6)/(1/((6-2)*(7/(3-1)))))	924-+2-6*162-731-/*//
((((7/(8/(5+(7*2))))*(1-(2/3)))*(1+7))-(0-6))	78572*+//123/-*17+*06--
((8/(8+7))+(1-((3-(8-3))+(7-(7-(3*9))))))	887+/1383--7739*--+-+
(((7/(((3-7)*(3*6))/(6/(9+8))))*(2+(0-4)))-6)	737-36**698+///204-+*6-
(((((5/8)/0)/(4/(4-(3+4))))-(7-(5/6)))-0)	58/0/4434+-//756/--0-
(((2*(9-(9/2)))/(4+0))-(2+(3+((3+2)*(6+7)))))	2992/-*40+/2332+67+*++-
(((((3+(6/8))+2)-(8*9))+(9/(6/7)))+(7/(3-7)))	368/+2+89*-967//+737-/+
(((((5/1)*(5/7))+7)-(8-(9*((6/0)-8))))/8)	51/57/*7+8960/8-*--8/
((((5/3)/(9+(2/2)))-(3+(2-(8+0))))*(2*(2/4)))	53/922/+/3280+-+-224/**
(((4-(6+0))-(5+((2*2)-(4*6))))+(3+(0/5)))	460+-522*46*-+-305/++
(((8+((9*9)-(7/(7-(4*(9-8))))))+(4-(2*0)))+0)	899*77498-*-/-+420*-+0+
(((6*((5*(4/((2-0)-3)))/2))*(9+3))+(4+(2/3)))	65420-3-/*2/*93+*423/++
((((1+(7*8))/(2+(9+3)))/(6+(3/(5-2))))*7)	178*+293++/6352-/+/7*
(((2*((1*1)+(5/8)))-(2/6))-(4-(4*(7-6))))	211*58/+*26/-4476-*--
((((((7*8)-0)*(0/(6+9)))-(4-8))*2)/(0+(6*4)))	78*0-069+/*48--2*064*+/
((1-((2+(1*(7+6)))/(9*(4*(2/(3*(7+9)))))))+7)	12176+*+942379+*/**/-7+
(((6-(5-2))/(5/(8/(2/2))))/(8/(2-(4/7))))	652--5822////8247/-//
((((3+0)*7)/(1+0))/(1-(3-(8+(9+(9+4))))))	30+7*10+/138994+++--/
((5+9)*(7+(7-(0/(5+(6/(6*(9-(8*3)))))))))	59+770566983*-*/+/-+*
((2*2)*(5/(((6/(1/(3-1)))+3)*(6*(2/(9*8))))))	22*56131-//3+6298*/**/*
((((9-(8*8))*(7*(1/(2+3))))/(5/4))*(1-(6/2)))	988*-7123+/**54//162/-*
((((7*0)-(7*6))-((2*(4*1))*(6-(1/1))))+9)	70*76*-241**611/-*-9+
((9-((0*(0+0))+(6/((7+5)*5))))+(7-(7-6)))	9000+*675+5*/+-776--+
((((4-(6*3))*((7+(1-0))+(3-(8+0))))+5)/1)	463*-710-+380+-+*5+1/
((9-(((6-(2+8))+(2/5))+(7+(4*(2*(1*2))))))/2)	9628+-25/+74212***++-2/
(((((9/8)+(0-(2/8)))/3)-(3*(7+3)))-(9*(7+3)))	98/028/-+3/373+*-973+*-
(((((5+3)*(4+2))*(0-(0-7)))/(3+1))-(6*0))	53+42+*007--*31+/60*-
((((1*(3+(6*9)))*(7+1))*(2/(3*(1-4))))+7)	1369*+*71+*2314-*/*7+
((((9/(5*(3+0)))+(3-7))/(4/(4/(2/8))))-8)	9530+*/37-+4428////8-
(((1*9)/(0+((2*(3*(3+8)))*(5-7))))/(7/8))	19*02338+**57-*+/78//
(((3-5)/(1-(3*9)))-(5*((1/(3/3))-(8-8))))	35-139*-/5133//88--*-
(((0/(2+7))/(1*((1/4)-(1/(7*2)))))+(0-0))	027+/114/172*/-*/00-+
((((6/2)*(3*(3-(9-6))))+(4-(6/(9+(2*1)))))*2)	62/3396--**46921*+/-+2*
((((5-(4/1))*(7/4))-(8*(9+(2/3))))*(2*9))	541/-74/*8923/+*-29**
((4+((1+(4/(0+7)))-(4/1)))*(5/((7-(3-7))-1)))	41407+/+41/-+5737--1-/*
(((1/4)*(1+(2*(1*(2-(4*3))))))+(7/(6-9)))	14/121243*-**+*769-/+
(((((9-(8+3))*2)*0)+(9/(1*8)))-(1/(3+8)))	983+-2*0*918*/+138+/-
((1-(5/(7+(7-0))))-(8*(3/(9+(4+(4*3))))))	15770-+/-839443*++/*-
((((((4-3)-2)*8)+(9/(4+1)))/(3+(2-6)))*5)	43-2-8*941+/+326-+/5*
(((4+((6-5)*(4-(0+2))))*(7-(6-9)))+(6-9))	465-402+-*+769--*69-+
(((2+5)/2)+((9*(4+7))*(3/(8/(8*(2-5))))))	25+2/947+*38825-*//*+
((4*(4-(7*1)))/(7/(9-((8+8)/(6*(3-2))))))	4471*-*7988+632-*/-//
(((((8*(6/0))/1)/(9*1))/(6*(5*7)))+(6*6))	860/*1/91*/657**/66*+
((((4*8)-(3*(2*(0+4))))/(6-(2/9)))*(4-8))	48*3204+**-629/-/48-*
((1*(7-8))-(5/(3/((1/(2+(9-4)))*(5/3)))))	178-*531294-+/53/*//-
(((6+(0+(4-0)))/(3*1))+(2-((5*9)*(4+1))))	6040-++31*/259*41+*-+
(((8/(5*6))*7)/(3*((9/9)*(3*((4*4)/3)))))	856*/7*399/344*3/***/
(((2*5)/((1-(2/4))+(2-(1/(3-(1+6))))))*(3+7))	25*124/-21316+-/-+/37+*
(((6/0)+(3*(5*(1/(0/(4/(5*5)))))))-(5*(4*4)))	60/3510455*///**+544**-
((((4*1)*(3+(0*(5-3))))/(1+5))+(1/(7*4)))	41*3053-*+*15+/174*/+
((((6/0)*(8*5))-(7*(7+(3-1))))+(1-(1/8)))	60/85**7731-+*-118/-+
((((8/(5-6))+(1+(9+0)))*(2*(4+(8+8))))*(2*8))	856-/190+++2488++**28**
(7/(3/((5*(7*7))*(5*(9+(6-(1/(4-1))))))))	73577**596141-/-+**//
((2+(4-4))*(6*((5*(0-(3*(2*0))))-(9-(2/7)))))	244-+650320**-*927/--**
(((2*(((2-9)/(9-(6-(3-9))))+(5-1)))+1)*(0*1))	229-9639---/51-+*1+01**
(((2/(2+3))+(9+(2-((3+(7/(6+4)))-(4+6)))))+2)	223+/923764+/+46+--++2+
((((2+(2*(4*1)))*8)/(3-(9/5)))/(0+(0/(3-3))))	2241**+8*395/-/0033-/+/
((((1+1)/0)/(8-((3+5)/(8*5))))/(7-(6*1)))	11+0/835+85*/-/761*-/
((((4+(6+(1*4)))-(0-1))/(7*(5/8)))/(7*(9/8)))	4614*++01--758/*/798/*/
(((1-((4/0)-(1*(3/2))))/5)+(7+(0/(0/7))))	140/132/*--5/7007//++
((9/(4*(3*9)))+(9-(1*(1-(9+(3+(4/5)))))))	9439**/9119345/++-*-+
(((0+7)*8)/(5+(0*((0-8)/(9-(5/(8+1)))))))	07+8*5008-9581+/-/*+/
(0+((8/7)+(9*(2+((7*(7+0))+(1/(9-6)))))))	087/92770+*196-/++*++
(((0-1)-(9*1))-(6/(((5+8)-(4/(3/3)))+7)))	01-91*-658+433//-7+/-
(((8+(7*(2+(4*6))))-1)+(0+(8-(5*(0-5)))))	87246*+*+1-08505-*-++
(((((2/6)-7)*(0+(0*(9-(9-8)))))+(5+(6/1)))*3)	26/7-00998--*+*561/++3*
(((((7/3)*(3-(5-3)))/1)-(7+5))/(6/(4*(3-1))))	73/353--*1/75+-6431-*//
(3*(((1*(9*(1/(0-8))))/(9-6))/(7+(8-(9+5)))))	319108-/**96-/7895+-+/*
(((((3*4)/(6/(8+4)))-8)+(9+(1-3)))-(4*(7*8)))	34*684+//8-913-++478**-
((7/(7+1))-(9/(2/((9*9)*(8/(7/(9+(2+1))))))))	771+/9299*87921++//*//-
((((3-(4*(4/6)))+(6/1))/(4/(2-(9-8))))/(8+0))	3446/*-61/+4298--//80+/
(((5/(0/0))*3)+(9+((((6/9)-7)*(7/9))/1)))	500//3*969/7-79/*1/++
(((6/(6*(9*7)))+(5-(4+(5/(6/7)))))/(5+(7-9)))	6697**/54567//+-+579-+/
(((((7+(9+3))*(6*3))+(9*9))-4)-(6-(1-(1+6))))	793++63**99*+4-6116+---
((6+((3/(9-9))+(7/((0-(9/8))-(2*5)))))+(6+6))	6399-/7098/-25*-/++66++
(((((3+(3/3))/2)+(8/(5*9)))-(1-(0+(7+5))))/8)	333/+2/859*/+1075++--8/
((((5*(2/(4*2)))-(8+(6*5)))-8)*(0-((3-2)+5)))	5242*/*865*+-8-032-5+-*
(((1-(9+(4-(6/(3/0)))))*1)+(0-(3-(0-(2/9)))))	194630//-+-1*03029/---+
((((9+4)*(4/0))-(2*(0/(6+1))))+(3*(1/4)))	94+40/*2061+/*-314/*+
((((3*(1+(7/(7+7))))-(3-(3*9)))-(7/0))-8)	31777+/+*339*--70/-8-
(((((5/(5/9))*3)/(2/1))-(3*(8*(6+7))))+3)	559//3*21//3867+**-3+
((9+(5+((((2/7)/6)*1)-(5-(1+(2-4))))))/7)	9527/6/1*5124-+--++7/
((((8*3)/(7-(9+(6/5))))+(7/(8+3)))+(0+(5*8)))	83*7965/+-/783+/+058*++
((3*(7*(6-(9+(2*(4*3))))))-(5/((4-1)+7)))	3769243**+-**541-7+/-
(((((7/(2+2))-2)/4)*(7/((4-6)-(8/1))))+(7-3))	722+/2-4/746-81/-/*73-+
(((8*((9*9)+9))-(6-0))-(6*(2*(4*(5-5)))))	899*9+*60--62455-***-
(((((2*5)/(2/4))*(3-(4*(2*(9-3)))))+(9+3))/2)	25*24//34293-**-*93++2/
(((5*(5-(3+0)))-(0/(7+(8/1))))-(7-(3-0)))	5530+-*0781/+/-730---
(((((0/8)+((4/2)/4))+(8/5))*(6-(7+5)))/6)	08/42/4/+85/+675+-*6/
((7/(9/(8+(7*0))))/(9-(0/((3-(0+9))/(8-6)))))	79870*+//90309+-86-//-/
(((((9*(7+1))/(1*3))-(4/9))+(0-(3/(3*5))))+1)	971+*13*/49/-0335*/-+1+
((((7+2)+(2/4))-9)*(2/(((9*(0/1))/0)+9)))	72+24/+9-2901/*0/9+/*
((((((9*2)-8)-(7+(5/8)))*9)/(3*(3-7)))*7)	92*8-758/+-9*337-*/7*
(((8*(2-(6*4)))+(3*(8+(9*(7*0)))))-(5*0))	8264*-*38970**+*+50*-
((((4-(3-(9/6)))+(8/9))/7)*(8*(1-(3+(8/8)))))	4396/--89/+7/81388/+-**
((3*(0/(2/6)))/(4+(8-(3+(6/(7*(0+0)))))))	3026//*4836700+*/+-+/
((((5*(0*5))*(7-6))+(7-(9*(4/(8-2)))))+2)	505**76-*79482-/*-+2+
(((1-4)-(8/2))+(3+((7/8)-(6*(2*(1+4))))))	14-82/-378/6214+**-++
(((5*(((9/0)/(1+(5*9)))+8))-(9*(2/3)))-(3+4))	590/159*+/8+*923/*-34+-
(((1-(7*(3-6)))+(8+(2/(1*(2/6)))))*(5-6))	1736-*-82126/*/++56-*
(((7-(3-(3*(0/(5/1)))))+(5-3))+(7*(0*(1*9))))	733051//*--53-+7019***+
((2-4)/(8+((0-0)+(4*(3/(5-(6*(5/7))))))))	24-800-435657/*-/*++/
((((1*(0/2))*(4-(4*2)))-(5/(4-9)))+(1-(6/7)))	102/*442*-*549-/-167/-+
((((3*(2-(0*8)))*(2*7))*(9*(0*(5*(3-4)))))+2)	3208*-*27**90534-****2+
((((9-(7-3))+(9*(3-(7*(5/4)))))-(2+(1-6)))/2)	973--93754/*-*+216-+-2/
(((7-(7-(0*(7-(6/9)))))-(2-(7-(6/9))))+3)	770769/-*--2769/---3+
((((2*5)-(0+(5+(9/(9-0)))))+(6-(3/(3+3))))+1)	25*05990-/++-6333+/-+1+
((3-(2/(0+(7*6))))-(7*(9-(1-(7-(2*5))))))	32076*+/-791725*---*-
((((4/(2/(9/9)))*(5/(4-3)))+4)-(3+(6/(0-4))))	4299///543-/*4+3604-/+-
((((3-(9/8))/(1+3))*(6+(5*(4-4))))-(4*(6+6)))	398/-13+/6544-*+*466+*-
((6/5)*((8*(6*(2*6)))/(3*(1/(3*(1/6))))))	65/8626***31316/*/*/*
((((4+8)*(5/1))/(6-(6+6)))+(5*(1*(1+(7+2)))))	48+51/*666+-/51172++**+
((3*(4+(8-2)))/(4-((3+(4/(2+6)))/(7*(5*7)))))	3482-+*43426+/+757**/-/
(((((2+2)/(5*(8+4)))*(3+3))-((0*(8/3))*1))/1)	22+584+*/33+*083/*1*-1/
(((5-8)*(((4+6)+(8/6))-(5*(0+(4-5)))))/1)	58-46+86/+5045-+*-*1/
((((1*(5+5))*(3*(9*(4+(7-4)))))*(1*(5-8)))/6)	155+*39474-+***158-**6/
((((6-(3+(7+(7/7))))+(7+(4+0)))*(6+5))+0)	63777/++-740+++65+*0+
((((1*(6*0))*(3*2))*(8+8))*(8/(5-(3-(9/0)))))	160**32**88+*85390/--/*
((0/(((6/(0-8))*(8*(1-8)))+(6*(2/3))))/7)	0608-/818-**623/*+/7/
((6+(5*(8+(4-(4*4)))))*((4*3)*(8+(5+1))))	658444*-+*+43*851++**
(((2+7)+(6*(0+(0-(3/2)))))*(0+(2-(2+9))))	27+60032/-+*+0229+-+*
(((6*6)*(1*4))/(4+(0-(9*(5/(5/(5*2)))))))	66*14**4095552*//*-+/
(((((8*6)+9)/(7*(1*2)))*(3*(3+1)))*(2/3))	86*9+712**/331+**23/*
((((2*(3/8))*4)+(3/(9+(7/(0/3)))))+(2+(2-8)))	238/*4*39703//+/+228-++
((((7*5)-(9-(1/3)))+((4/(8*3))*(5+2)))-6)	75*913/--483*/52+*+6-
((9+(3/(6/(0*2))))/(5/((2*9)*(3/(3-(2-0))))))	93602*//+529*3320--/*//
((((3-2)/(8-(2/(4-1))))*5)/(7*(8-(6*8))))	32-8241-/-/5*7868*-*/
(((4+(6-(1/6)))+(5*9))*(4/(2*(0/(8+(1-4))))))	4616/-+59*+420814-+/*/*
(3+((9+(5-(2/(2-(6-4)))))/(3+(7+(8-0)))))	3952264--/-+3780-++/+
((((4+2)+(((5*(1*2))*9)+7))+(9+(7+8)))/0)	42+512**9*7++978+++0/
(4*(((6*3)/(5/(1/0)))/(4-(8*((5*8)/3)))))	463*510///4858*3/*-/*
(7+((0-(6*((0*2)/3)))-(1+((5*6)+(9*6)))))	70602*3/*-156*96*++-+
((2*(((8/(9-6))*(1/(3/6)))*(1/1)))/(3-(9/4)))	2896-/136//*11/**394/-/
((((1+8)/(8+3))+(6*(7*((0*(0/8))+9))))*3)	18+83+/67008/*9+**+3*
(((1/1)-(9+(((5*2)/(9*(9-(8-1))))/(7+5))))*3)	11/952*9981--*/75+/+-3*
(((8/(4/4))+(3*(4+5)))-(0-((8+(5*1))+2)))	844//345+*+0851*+2+--
((((1-(1*3))-(6+1))+(0-4))+(1-(7+(9+7))))	113*-61+-04-+1797++-+
((5-(((4*(5/4))-(8+(5-(6-(0-2)))))*(9*3)))*1)	5454/*85602---+-93**-1*
(((6-4)+((7*(8-8))+3))+(3/(3/(5+(2/(0/3))))))	64-788-*3++335203//+//+
((((((9/(8+0))*(4/(8+5)))/(3+3))/7)/(4/0))*6)	980+/485+/*33+/7/40//6*
(((0/(7-(2-(0-6))))+(3+(6*6)))-(0/(5/5)))	07206---/366*++055//-
((((3/(7/2))-2)/(8*0))-(9-(9/(7*(4*1)))))	372//2-80*/99741**/--
((((5/(8+7))*9)+(1-(6*0)))/(8+(1*(0+5))))	587+/9*160*-+8105+*+/
(((8/5)-((2-6)/(5*(1+((1/0)*(3+6))))))+2)	85/26-5110/36+*+*/-2+
((((((1/6)*(8*3))/0)-(0-1))-(4*(4-4)))/3)	16/83**0/01--444-*-3/
(((2*6)+((6+8)/(3/9)))+(4-(3+(2-(7+7)))))	26*68+39//+43277+-+-+
((((((3/4)/(3+1))/1)/(3-1))*(5-(7+7)))*(4-6))	34/31+/1/31-/577+-*46-*
(((4/(7+(9*7)))*(6*(6/(8-0))))/(2+(4-3)))	4797*+/6680-/**243-+/
((((7+(5-9))+(2*5))-(1-(2*8)))-(2/(7*(0+4))))	759-+25*+128*--2704+*/-
(((2/9)/(((0+0)*(5/(3*(0+7))))*(9/(3/3))))+6)	29/00+5307+*/*933//*/6+
((((5+(1/3))+(3+(0+4)))+(0/(6/(8/(2+1)))))*3)	513/+304+++06821+///+3*
(((7+(5-1))*(7-(6-(0-8))))-(3*((8+5)*(3/8))))	751-+7608---*385+38/**-
((1*(0-(9-4)))-((2*(8-(4/(8-0))))-(2*4)))	1094--*28480-/-*24*--
((9*(4+(0/(8+0))))/(1+((6/(1-8))-(0+0))))	94080+/+*1618-/00+-+/
(((2/4)-((6/9)-(6*(5+8))))+(0*(5-(5-(2*6)))))	24/69/658+*--05526*--*+
(((6*3)/(8/(5/((5+8)*(1-7)))))/(8-(1/7)))	63*8558+17-*///817/-/
(((4+((9/5)/(9+(9-5))))-(1/(7*(9+0))))/0)	495/995-+/+1790+*/-0/
(((5+((1+(2*3))/5))-(3-(7/(9-(7-9)))))-9)	5123*+5/+37979--/--9-
((3*(8+4))+(6*(9-(((8/5)+3)*(2+(2*0))))))	384+*6985/3+220*+*-*+
((((6+(9+6))-0)+(0*(7-5)))/(4*(6-(6-1))))	696++0-075-*+4661--*/
((1/(((2+(2/5))*(6+(9*8)))*(9/(5+(1*8)))))*1)	1225/+698*+*9518*+/*/1*
(((((4*(6-8))+5)/(3-0))*(6+(5/(6+(5-8)))))+3)	468-*5+30-/65658-+/+*3+
(((((2/5)-(8/(9-5)))/(7+0))-(9+5))-(0/(1-7)))	25/895-/-70+/95+-017-/-
((((7*0)-(4-(3/9)))*(1/(8/(1-(5/4)))))/3)	70*439/--18154/-//*3/
((0/((0*(6/(9*1)))-(0*(3-3))))-(3/(1/4)))	00691*/*033-*-/314//-
((((8/(9/(2/5)))*2)-(2*(9*1)))/(9/(7*9)))	8925///2*291**-979*//
((((6+4)-(4/6))*(5*(1*(2/8))))+(6-(0/7)))	64+46/-5128/***607/-+
(((8/(3*((1-8)+(2*(0/7)))))+(5*(2-(9*9))))*0)	8318-207/*+*/5299*-*+0*
((1+(6/(2*4)))*((7*(0+(6-9)))+(2+(4/(1*3)))))	1624*/+7069-+*2413*/++*
((((((0*1)*(5/6))*(8-(0/8)))/(5+3))/0)-5)	01*56/*808/-*53+/0/5-
((((5/(2*7))-(7/(1-6)))+(5-(1-(3*6))))+7)	527*/716-/-5136*--+7+
((((4/6)*1)/(7/((7-(1-8))/(4*(6/4)))))+5)	46/1*7718--464/*///5+
((((5+(6/1))/(3-(8+3)))/(2+(0-(4*4))))-(2-2))	561/+383+-/2044*-+/22--
((((3*6)*(8+(0*5)))*(3/9))+(8+(7+(3/7))))	36*805*+*39/*8737/+++
((((7/1)*(1/(9-(7-(9*3)))))*(4-(6+1)))*5)	71/19793*--/*461+-*5*
(3/(4*(2+(3+(2+(5+((7+(6+8))*(0*3))))))))	342325768++03**++++*/
(((3*(9-(7-(1/9))))+(8/(8*(9+6))))-(7-3))	39719/--*8896+*/+73--
(((((7+4)*4)-(4*(7-(9*7))))/(2-0))+(3+(4+0)))	74+4*4797*-*-20-/340+++
((((0/(4-8))-(3/(5/9)))-(3-6))+(2+(7*9)))	048-/359//-36--279*++
((((0-5)+(7-(3+(4/(3-1)))))/(3-(1+0)))/2)	05-73431-/+-+310+-/2/
(((6*(5+8))*((4/(9/5))*(5+((7/7)-(3/1)))))/0)	658+*495//577/31/-+**0/
(((5+(8-3))/(6-7))-(5-(8/((5/1)/(1+8)))))	583-+67-/5851/18+//--
((7-(((6-(6+6))/(6/(9*9)))-(2/(7-(3-6)))))+3)	7666+-699*//2736--/--3+
((((5/(7-2))+(7/(4-(9-(0-3)))))+(8*(2*7)))*5)	572-/74903---/+827**+5*
