((3-0)/8)	30-8/
((2*5)*3)	25*3*
(3+(1-3))	313-+
((7-7)/9)	77-9/
(9*(8+2))	982+*
(1+(8-1))	181-+
((7-3)-9)	73-9-
((5*5)/2)	55*2/
((7+0)/1)	70+1/
(2+(8/0))	280/+
((6-8)/5)	68-5/
((5-2)-1)	52-1-
(0-(4/0))	040/-
(8+(9/3))	893/+
(2/(6*8))	268*/
(7*(5+1))	751+*
(8/(5+4))	854+/
((5-7)-4)	57-4-
(8+(2+9))	829++
((7*5)*3)	75*3*
((8-1)+9)	81-9+
((7+0)-8)	70+8-
(4*(0*8))	408**
((3+1)+9)	31+9+
(1*(1-8))	118-*
(5-(4+2))	542+-
(6-(9*7))	697*-
((3/5)*9)	35/9*
(5-(1-8))	518--
(2+(5/1))	251/+
(4/(3+4))	434+/
((2-2)*0)	22-0*
(7+(2*0))	720*+
((7-6)*3)	76-3*
((7-2)*2)	72-2*
((6/5)*3)	65/3*
(8*(9-8))	898-*
(6-(7+7))	677+-
(9*(7+2))	972+*
((7-6)+3)	76-3+
(4/(3+9))	439+/
((0/0)*4)	00/4*
((1-4)*4)	14-4*
(3*(9-0))	390-*
((0*8)*1)	08*1*
(8-(8*9))	889*-
((4*0)+3)	40*3+
(3/(8+0))	380+/
((0*0)/8)	00*8/
((3-4)-7)	34-7-
(7/(4*7))	747*/
(9-(3/6))	936/-
(3+(6*5))	365*+
(8-(3+8))	838+-
(9-(5-4))	954--
(1-(3*8))	138*-
((6-4)-6)	64-6-
(6-(6-7))	667--
(6*(9/8))	698/*
(2/(9-1))	291-/
((7/8)-5)	78/5-
(4/(6*7))	467*/
(8+(5+2))	852++
(3-(9-5))	395--
(8+(1-8))	818-+
((2-0)-4)	20-4-
((1*7)*2)	17*2*
(4+(3/1))	431/+
((4*1)/6)	41*6/
((1+9)/4)	19+4/
(8+(9*5))	895*+
((6+3)+2)	63+2+
((6-0)+0)	60-0+
(0/(4/5))	045//
(6+(5+5))	655++
(1+(3+8))	138++
(9*(2*6))	926**
(8+(9-9))	899-+
(9+(7+9))	979++
((4-2)-5)	42-5-
(4*(0/2))	402/*
((6+9)*5)	69+5*
((2+7)*7)	27+7*
(6+(3*2))	632*+
((4-5)+0)	45-0+
((0+4)*4)	04+4*
(6-(7-2))	672--
((6-6)/5)	66-5/
((5*4)*5)	54*5*
(5/(1+0))	510+/
(2/(8-7))	287-/
(9-(8+6))	986+-
((0-1)*3)	01-3*
(5+(3-7))	537-+
(2*(6/8))	268/*
(7*(4-8))	748-*
(0/(5-2))	052-/
(4*(5+0))	450+*
(5/(7-7))	577-/
(3/(9-0))	390-/
(7*(7/3))	773/*
((4/0)/6)	40/6/
((4/1)*7)	41/7*
(6/(5*4))	654*/
((0/2)/7)	02/7/
(9+(7-4))	974-+
((7*2)*2)	72*2*
(4/(4+9))	449+/
(9*(2/5))	925/*
(3-(6+6))	366+-
((3-1)/4)	31-4/
((0+2)+9)	02+9+
(1+(8-9))	189-+
(7/(1-0))	710-/
(7/(3+1))	731+/
((9/2)-2)	92/2-
((1-7)/6)	17-6/
(0-(9*8))	098*-
(1-(9-5))	195--
(9+(0/0))	900/+
(0+(4-0))	040-+
((2-1)-2)	21-2-
(6-(1/7))	617/-
(6/(3*6))	636*/
((7*0)-4)	70*4-
(0+(7-3))	073-+
(7-(9-1))	791--
(7+(7/3))	773/+
(1/(7-1))	171-/
(1+(8/1))	181/+
(6+(9+4))	694++
(2-(9*7))	297*-
(6-(5*5))	655*-
(6/(8+9))	689+/
(3-(1*6))	316*-
(2*(8/2))	282/*
((1*0)*2)	10*2*
((4+3)-6)	43+6-
(6-(4/9))	649/-
((9+7)+1)	97+1+
(7+(0/0))	700/+
(0-(9-1))	091--
(2-(3*3))	233*-
(8+(3*8))	838*+
(0-(7+9))	079+-
(5-(5+0))	550+-
((1+9)/3)	19+3/
(7*(4-0))	740-*
((9-1)*7)	91-7*
(7+(9-4))	794-+
(1*(1-5))	115-*
(3*(2*8))	328**
(1/(3+7))	137+/
(1*(5/8))	158/*
((9/5)*3)	95/3*
(6+(4+8))	648++
((4+9)-7)	49+7-
(2*(0-5))	205-*
(9-(2*6))	926*-
(6*(5+8))	658+*
((7/3)+1)	73/1+
(4-(2*9))	429*-
(4-(2-8))	428--
((8+1)*1)	81+1*
(9*(7/2))	972/*
(4+(4/6))	446/+
(6-(8/8))	688/-
(3+(3-9))	339-+
((6*5)*9)	65*9*
((9-3)/6)	93-6/
(4*(3*9))	439**
(3+(5*9))	359*+
((6/0)-9)	60/9-
(4*(7*4))	474**
((3-9)*8)	39-8*
(0*(5-6))	056-*
(4*(9*7))	497**
(7+(1+0))	710++
(3+(0-4))	304-+
((4/2)+2)	42/2+
(5+(5+1))	551++
(9/(4-2))	942-/
((8-9)-8)	89-8-
((7+7)+7)	77+7+
((5/2)+4)	52/4+
(9+(9*6))	996*+
(2-(9*8))	298*-
(6+(0+2))	602++
((4/5)+6)	45/6+
(5+(9+5))	595++
(6/(3-5))	635-/
(6/(1*0))	610*/
(0-(1/0))	010/-
(5+(4/6))	546/+
((5+1)+9)	51+9+
((4+9)/8)	49+8/
((7*0)+5)	70*5+
(9*(8+2))	982+*
((0*4)/2)	04*2/
((4-5)-2)	45-2-
((6*6)/2)	66*2/
(3*(8/2))	382/*
(5-(1-4))	514--
(7*(6/3))	763/*
((7-8)*1)	78-1*
(9*(1-3))	913-*
((3/9)+0)	39/0+
(1*(7/5))	175/*
((5/7)+8)	57/8+
((5*1)+0)	51*0+
((3+3)-6)	33+6-
(0+(7+4))	074++
(5+(5-2))	552-+
((4/6)-6)	46/6-
(2-(3*2))	232*-
((6-3)-1)	63-1-
(7*(2-6))	726-*
(2+(2*3))	223*+
(9*(3+8))	938+*
(1/(6-2))	162-/
(0-(3+2))	032+-
(9/(8*5))	985*/
(6+(8-3))	683-+
(9+(7/6))	976/+
((0/2)-5)	02/5-
(0*(4-1))	041-*
((7*3)-5)	73*5-
((1-2)*5)	12-5*
((7+7)+2)	77+2+
((4-1)/0)	41-0/
((8*6)+3)	86*3+
(2-(1*2))	212*-
((3*1)+3)	31*3+
((1/4)+6)	14/6+
((9/2)+7)	92/7+
(9*(0*6))	906**
(0-(3*7))	037*-
(2*(2-1))	221-*
(6/(1-4))	614-/
((0-5)/6)	05-6/
(3+(2/8))	328/+
(0+(1-3))	013-+
(2+(9-8))	298-+
(4-(7/9))	479/-
(4-(1-4))	414--
(7+(0/6))	706/+
(3/(3/9))	339//
(7-(0-9))	709--
(1+(5-5))	155-+
(8/(0/8))	808//
(1-(5+8))	158+-
(2+(1/0))	210/+
(2*(2-8))	228-*
(6*(3+3))	633+*
((3/1)-7)	31/7-
((4*0)+2)	40*2+
(8*(5/7))	857/*
((9-7)/7)	97-7/
(6-(2-1))	621--
(2*(7/4))	274/*
((4/2)-5)	42/5-
(7*(8*2))	782**
((4-2)+0)	42-0+
(4/(0-8))	408-/
((3*6)+4)	36*4+
(3*(5/0))	350/*
(5*(3/1))	531/*
(9*(6+2))	962+*
((1*7)*4)	17*4*
((6+6)+0)	66+0+
((5+2)+3)	52+3+
(1*(8*2))	182**
(1/(2-5))	125-/
((6*2)-9)	62*9-
((0/0)/8)	00/8/
((3/6)/1)	36/1/
(3/(3+8))	338+/
(4+(2-5))	425-+
(5+(9-2))	592-+
(9-(0-7))	907--
((1-1)/0)	11-0/
((7*6)*6)	76*6*
((6*5)+7)	65*7+
(2-(9+5))	295+-
((0/3)-3)	03/3-
((8*4)/5)	84*5/
((5*5)/5)	55*5/
((2*0)-3)	20*3-
(2*(7-3))	273-*
(6+(4+2))	642++
(8+(7/4))	874/+
((5-5)/7)	55-7/
((8+1)+4)	81+4+
((0*6)-9)	06*9-
(2/(8*1))	281*/
(9+(2*2))	922*+
(6*(3+5))	635+*
((6-5)-0)	65-0-
((5/7)*7)	57/7*
(8*(1+7))	817+*
((9*2)/9)	92*9/
(4+(0-0))	400-+
(0*(5-7))	057-*
((5*1)-1)	51*1-
(2*(2/8))	228/*
(2-(3+3))	233+-
((7+2)-4)	72+4-
(4+(2*1))	421*+
(9+(3/1))	931/+
((2+5)*2)	25+2*
(6+(5/0))	650/+
(2/(1+1))	211+/
((0/9)-7)	09/7-
(3-(8+2))	382+-
(6/(1-2))	612-/
((9*2)+1)	92*1+
(0*(3+8))	038+*
(5+(3*6))	536*+
((8*9)*0)	89*0*
(6+(2+2))	622++
(9*(8*2))	982**
((2-1)*1)	21-1*
(7/(1+7))	717+/
(3/(3*0))	330*/
(8*(6+8))	868+*
((0+8)*0)	08+0*
(7/(4-1))	741-/
(9-(3-3))	933--
(8*(6*4))	864**
((7+8)/5)	78+5/
(3*(0+7))	307+*
(9+(7*7))	977*+
((8*3)+9)	83*9+
(1-(5*2))	152*-
(1/(2+5))	125+/
(2*(6-9))	269-*
(1*(5/4))	154/*
((5*9)+6)	59*6+
(7+(3*3))	733*+
(1-(1+4))	114+-
(7-(0-3))	703--
(7/(8+9))	789+/
((8-5)-7)	85-7-
(6+(1*5))	615*+
((5-1)-2)	51-2-
((2*7)/5)	27*5/
((9+0)*9)	90+9*
(2*(4/5))	245/*
(7+(7*5))	775*+
(3/(4-8))	348-/
(9+(2+0))	920++
(4*(4-0))	440-*
((4*1)-6)	41*6-
(7/(3+2))	732+/
((5*1)/6)	51*6/
((3-3)-9)	33-9-
(4/(1+2))	412+/
(0*(7-2))	072-*
(0*(0+1))	001+*
(3+(4/4))	344/+
((5/7)*6)	57/6*
((0*2)-3)	02*3-
(3*(3-8))	338-*
(9+(6-9))	969-+
(4-(8+5))	485+-
(2-(8-5))	285--
(8/(3-2))	832-/
((5/8)*3)	58/3*
(7/(9-2))	792-/
(3/(0*9))	309*/
(3/(3+7))	337+/
((4*9)/8)	49*8/
((6/3)+4)	63/4+
((8/7)/1)	87/1/
(6+(3/6))	636/+
(7*(0-5))	705-*
(7+(3/4))	734/+
(0-(1-8))	018--
(2/(2/2))	222//
(6/(1*0))	610*/
((2*7)+0)	27*0+
((8/1)/3)	81/3/
((5*3)*2)	53*2*
((5-4)-1)	54-1-
((2+2)/8)	22+8/
((5+8)-2)	58+2-
(1+(4+6))	146++
((0+5)*1)	05+1*
(8*(1*5))	815**
(1+(1*5))	115*+
((7*2)*3)	72*3*
((1*1)+9)	11*9+
(2-(1*5))	215*-
((4+7)/1)	47+1/
((4*9)/7)	49*7/
((3*6)/6)	36*6/
(1+(1+5))	115++
(1+(8+1))	181++
((2*2)/1)	22*1/
((2+6)*8)	26+8*
(8-(1/0))	810/-
((7-7)-3)	77-3-
((3*3)*7)	33*7*
(2-(0*3))	203*-
((8/0)/8)	80/8/
(3*(1+2))	312+*
(7/(5/0))	750//
((7+8)*6)	78+6*
(4-(4-6))	446--
((4+8)-0)	48+0-
(7*(6*1))	761**
((2+1)*7)	21+7*
(0/(0*4))	004*/
(4/(3-8))	438-/
((4/6)-3)	46/3-
((6-5)-7)	65-7-
((9/7)+8)	97/8+
((1+2)+2)	12+2+
(9-(1+1))	911+-
(9*(4*9))	949**
((5/5)+2)	55/2+
((3/0)-2)	30/2-
(6+(1-7))	617-+
(5*(9*7))	597**
((4-9)+1)	49-1+
((4+9)/9)	49+9/
(2/(4*6))	246*/
(2-(5-6))	256--
(4+(0+1))	401++
(9+(9/7))	997/+
((1-3)*8)	13-8*
(0/(9/6))	096//
((6-6)+7)	66-7+
(2/(3+3))	233+/
(4/(3+6))	436+/
(1*(1-1))	111-*
((9/4)-3)	94/3-
(8*(8/9))	889/*
((2*9)-9)	29*9-
(8+(8-0))	880-+
(9+(3+5))	935++
(9-(0/8))	908/-
((4*6)*5)	46*5*
(0-(1+3))	013+-
(8/(2/4))	824//
(0*(0+9))	009+*
((3/9)-9)	39/9-
(4*(9/0))	490/*
(2*(3/4))	234/*
(1/(5*0))	150*/
((8+0)+8)	80+8+
((0+1)-0)	01+0-
(8+(9-8))	898-+
(2+(8/0))	280/+
(1*(1*2))	112**
(9-(1+3))	913+-
(5-(1-3))	513--
(7+(2+0))	720++
(5/(0-7))	507-/
((4+3)/2)	43+2/
(4+(7+3))	473++
(0-(3*9))	039*-
(7*(5*1))	751**
(6/(8/3))	683//
(7-(3+9))	739+-
(7-(7+1))	771+-
(2*(3/1))	231/*
(8+(6*5))	865*+
(5/(1+3))	513+/
(0-(8-2))	082--
(9+(1/9))	919/+
(8/(0+9))	809+/
(2/(3*4))	234*/
(5*(7*7))	577**
((9+5)-2)	95+2-
((7+2)*5)	72+5*
((0-3)*6)	03-6*
